Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
1995,7,False,-1.764,-1.07,-1.423,0.449,-0.503,-2.059,3.573,0.663,4.045,1.999,0.095,1.652,-1.696,-1.647,-2.673,2.094,1.297,-0.256,-1.401
1995,6,False,-0.412,0.058,0.841,2.446,0.213,-0.139,0.167,1.316,2.833,-0.597,-2.49,0.254,-0.851,-0.861,0.164,2.168,0.4,-0.253,0.893
1995,7,True,1.122,2.027,1.64,3.872,0.995,1.106,-4.212,-3.041,-0.02,1.164,-2.49,1.519,-1.046,-1.032,0.382,-0.495,-2.316,-0.289,0.287
1995,6,False,-1.508,-2.375,-2.356,-4.686,-2.381,-3.148,1.384,0.989,0.515,-5.602,-1.598,-0.678,0.904,0.848,-0.011,2.168,1.246,-0.264,-0.925
1996,5,True,-1.648,-2.44,-1.848,-3.34,-4.913,-5.922,-1.44,2.208,-1.059,-1.288,3.921,1.662,0.783,0.737,-2.538,-4.102,3.581,-0.285,-3.335
1996,5,False,1.648,0.163,4.63,2.48,1.594,4.13,-3.032,3.18,-2.031,1.753,-2.28,0.86,1.87,1.705,1.208,-0.518,3.467,-0.285,-1.503
1996,4,False,2.522,0.534,1.954,-1.142,4.689,5.966,0.34,-1.647,-0.904,-0.984,-0.365,-0.497,2.215,2.304,4.056,0.536,0.084,-0.261,-2.891
1996,6,False,-1.224,-3.449,1.25,-2.567,0.652,1.595,-0.316,0.733,-2.731,-2.2,1.094,2.186,2.612,2.304,2.357,-1.08,1.079,-0.304,-0.892
1997,5,True,-0.062,-1.14,1.724,0.091,-1.732,-0.674,-2.775,4.279,-3.461,-0.645,1.003,1.995,1.207,1.116,-0.047,-2.75,3.683,-0.398,-0.445
1997,7,False,-3.559,-2.422,-3.442,-2.969,-2.286,-2.802,1.656,-2.792,1.993,-2.6,1.101,1.0,-0.65,-0.667,-0.246,0.461,-0.521,-0.34,-2.665
1997,7,False,0.774,1.317,1.285,2.523,0.046,-0.307,0.825,2.687,0.859,-0.489,-2.344,1.784,-0.65,-0.667,0.103,2.238,1.339,-0.359,1.248
1997,5,False,-0.248,-0.179,0.509,0.64,-0.538,-3.389,-1.206,0.439,6.88,-1.114,-1.458,2.929,-0.031,-0.036,-1.593,0.12,1.339,-0.323,-1.555
