Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference,Team TS%,Opp TS%
2001,LAL,SAC,4,106.5,97.3,110.4,100.8,0.498,0.429,13.8,13.8,32.8,29.8,0.339,0.262,True,9.6,9.2,6.9,0.0,3.0,0.077,100.0,77.846,81.618,5.702,54.9479,49.2455
2001,SAS,DAL,5,102.2,90.6,112.7,99.9,0.535,0.41,14.1,9.5,30.2,28.5,0.254,0.215,False,12.8,11.6,12.5,4.6,1.7,0.039,80.0,84.235,87.952,10.362,56.803,46.4406
2002,BOS,DET,5,83.0,79.4,95.3,91.2,0.447,0.441,15.4,14.4,24.2,20.3,0.207,0.163,False,4.1,3.6,0.6,1.0,3.9,0.044,80.0,64.949,67.517,2.489,49.5984,47.1094
2002,NJN,CHH,5,98.0,94.0,106.1,101.8,0.456,0.451,13.1,13.9,31.3,32.4,0.289,0.273,False,4.3,4.0,0.5,-0.8,-1.1,0.016,80.0,64.099,66.543,1.351,51.449,50.0981
2002,LAL,SAS,5,90.0,85.8,103.7,98.8,0.472,0.427,12.0,12.3,28.6,25.9,0.186,0.27,True,4.9,4.2,4.5,-0.3,2.7,-0.084,80.0,66.033,68.752,1.712,50.453,48.7411
2002,SAC,DAL,5,112.8,106.8,114.9,108.8,0.502,0.487,12.3,11.9,33.8,27.0,0.277,0.219,False,6.1,6.0,1.5,0.4,6.8,0.058,80.0,68.142,71.133,2.222,55.49,53.2679
2003,DET,PHI,6,89.7,89.7,103.4,103.4,0.466,0.465,13.3,15.0,24.3,31.0,0.294,0.247,False,0.0,0.0,0.1,-1.7,-6.7,0.047,66.667,50.0,50.0,0.615,52.3102,51.695
2003,NJN,BOS,4,101.3,91.3,103.9,93.6,0.488,0.455,14.9,16.8,23.2,20.8,0.283,0.231,False,10.3,10.0,3.3,-1.9,2.4,0.052,100.0,80.934,84.748,3.274,53.8392,50.5652
2003,DAL,SAC,7,114.6,111.0,113.0,109.5,0.524,0.487,10.9,11.4,25.8,26.2,0.165,0.261,False,3.5,3.6,3.7,-0.5,-0.4,-0.096,57.143,60.921,62.87,1.439,55.3256,53.8865
2003,SAS,LAL,6,99.5,93.7,109.7,103.2,0.508,0.482,11.4,14.8,25.0,26.5,0.245,0.235,True,6.5,5.8,2.6,-3.4,-1.5,0.01,66.667,69.75,72.928,2.407,54.8875,52.4802
2004,DET,NJN,7,86.7,83.3,95.6,91.8,0.424,0.425,14.9,17.5,28.9,26.8,0.254,0.287,True,3.8,3.4,-0.1,-2.6,2.1,-0.033,57.143,63.564,65.928,-0.535,47.8254,48.3609
2004,IND,MIA,6,87.8,84.7,102.8,99.1,0.475,0.436,14.7,13.2,25.6,25.5,0.314,0.27,False,3.7,3.1,3.9,1.5,0.1,0.044,66.667,62.246,64.408,3.376,52.8692,49.4934
2004,LAL,SAS,6,88.0,83.8,100.0,95.2,0.504,0.439,15.7,14.4,22.2,29.3,0.259,0.184,False,4.8,4.2,6.5,1.3,-7.1,0.075,66.667,66.379,69.145,6.312,53.3463,47.034
2004,MIN,SAC,7,91.9,93.0,98.9,100.2,0.468,0.445,15.1,12.1,25.1,22.1,0.224,0.244,False,-1.3,-1.1,2.3,3.0,3.0,-0.02,57.143,45.872,45.108,1.521,51.4532,49.9325
2005,DET,IND,6,86.0,79.0,101.8,93.5,0.448,0.423,13.4,14.5,30.7,26.5,0.24,0.201,False,8.3,7.0,2.5,-1.1,4.2,0.039,66.667,76.512,80.232,2.929,49.8262,46.8973
