Season,Team,Opponent,Team PTS,Team FGA,Team FTA,Team TS%,Opp PTS,Opp FGA,Opp FTA,Opp TS%
2020,LAL,HOU,555.0,406.0,105.0,61.3667,519.0,394.0,127.0,57.682
2021,MIL,BRK,713.0,626.0,133.0,52.0803,733.0,611.0,106.0,55.7296
2021,ATL,PHI,755.0,610.0,176.0,54.9139,775.0,581.0,203.0,57.8082
2021,PHO,DEN,486.0,345.0,88.0,63.3274,423.0,375.0,63.0,52.5179
2021,LAC,UTA,720.0,501.0,143.0,63.8388,669.0,494.0,136.0,60.3965
2022,BOS,MIL,739.0,592.0,145.0,56.3434,684.0,626.0,143.0,49.6429
2022,MIA,PHI,631.0,500.0,135.0,56.3997,585.0,470.0,120.0,55.9487
2022,DAL,PHO,753.0,568.0,156.0,59.1386,731.0,579.0,127.0,57.5699
2022,GSW,MEM,666.0,547.0,105.0,56.1362,662.0,569.0,131.0,52.8214
2023,MIA,NYK,626.0,515.0,143.0,54.1597,603.0,477.0,168.0,54.7266
2023,BOS,PHI,775.0,588.0,147.0,59.3706,713.0,582.0,149.0,55.0528
2023,DEN,PHO,703.0,530.0,139.0,59.4594,646.0,522.0,113.0,56.4962
2023,LAL,GSW,676.0,514.0,160.0,57.8371,659.0,573.0,80.0,54.1763
2024,IND,NYK,807.0,600.0,113.0,62.1037,779.0,605.0,173.0,57.1852
2024,BOS,CLE,542.0,410.0,88.0,60.394,506.0,433.0,58.0,55.1775
2024,DAL,OKC,636.0,511.0,134.0,55.7934,636.0,530.0,115.0,54.7709
2024,MIN,DEN,719.0,562.0,151.0,57.2051,683.0,566.0,121.0,55.1482
2025,IND,CLE,588.0,423.0,120.0,61.7907,571.0,448.0,167.0,54.748
2025,NYK,BOS,634.0,517.0,149.0,54.415,631.0,523.0,120.0,54.7933
2025,OKC,DEN,808.0,650.0,175.0,55.5708,744.0,614.0,192.0,53.2585
2025,MIN,GSW,545.0,412.0,99.0,59.8165,509.0,419.0,124.0,53.7419
2026,NYK,PHI,497.0,330.0,103.0,66.2102,408.0,318.0,106.0,55.9456
2026,CLE,DET,762.0,555.0,217.0,58.5721,752.0,600.0,157.0,56.1966
2026,SAS,MIN,724.0,525.0,165.0,60.5756,627.0,560.0,146.0,50.2211
2026,OKC,LAL,479.0,341.0,72.0,64.2642,415.0,319.0,86.0,58.1493
