Season,Team,Opponent,Games played,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference
2008,LAL,UTA,6,False,3.2,3.0,5.7,1.9,-13.6,0.145,66.667,59.473,61.183,6.882
2008,SAS,NOH,7,False,0.0,0.0,2.9,3.8,-0.9,0.003,57.143,50.0,50.0,2.404
2009,CLE,ATL,4,False,22.0,18.0,11.0,1.7,14.6,0.054,100.0,94.676,96.815,10.064
2009,ORL,BOS,7,False,4.8,4.3,3.1,-1.0,-3.1,0.004,57.143,65.417,68.051,1.951
2009,LAL,HOU,7,True,8.1,7.3,2.1,-4.0,3.2,-0.005,57.143,74.61,78.222,1.343
2009,DEN,DAL,5,False,8.3,7.8,3.4,-2.9,-1.9,0.014,80.0,72.721,76.189,2.537
2010,BOS,CLE,6,False,5.7,5.3,2.3,-3.2,2.2,-0.101,66.667,67.997,70.97,0.067
2010,ORL,ATL,4,False,29.4,25.3,21.0,1.2,2.5,0.021,100.0,97.681,98.831,17.158
2010,LAL,UTA,4,True,8.0,7.3,4.7,0.9,2.9,0.043,100.0,72.342,75.778,4.978
2010,PHO,SAS,4,False,9.8,9.2,3.9,0.3,2.6,0.01,100.0,77.219,80.969,4.326
2011,CHI,ATL,6,False,8.2,7.0,2.7,-0.1,7.7,-0.018,66.667,74.879,78.508,2.478
2011,MIA,BOS,5,False,5.0,4.4,-1.5,-0.7,7.1,0.094,80.0,65.855,68.549,0.029
2011,DAL,LAL,4,True,15.9,14.0,12.9,2.7,-7.8,0.038,100.0,88.566,91.896,12.811
2011,OKC,MEM,7,False,4.2,4.0,6.1,3.7,-0.3,0.029,57.143,63.36,65.694,6.064
2012,MIA,IND,6,True,7.3,6.5,4.1,-2.7,-1.5,0.008,66.667,72.977,76.466,3.304
2012,BOS,PHI,7,False,4.2,3.7,2.5,1.6,-6.0,0.04,57.143,64.336,66.815,4.073
2012,SAS,LAC,4,False,12.6,11.5,5.6,0.3,2.7,0.058,100.0,83.892,87.626,6.256
2012,OKC,LAL,5,False,10.7,9.4,5.1,-3.9,-1.4,-0.021,80.0,79.742,83.554,3.959
2013,MIA,CHI,5,True,15.3,13.2,10.4,-2.0,-9.6,0.032,80.0,88.347,91.705,9.552
2013,IND,NYK,6,False,0.0,0.0,1.9,5.8,7.8,0.106,66.667,50.0,50.0,2.599
2013,MEM,OKC,5,False,4.4,4.0,-0.6,-4.0,-0.3,0.033,80.0,64.737,67.275,-0.223
2013,SAS,GSW,6,False,4.0,3.8,1.1,-2.0,-4.2,0.042,66.667,62.904,65.168,2.032
2014,IND,WAS,6,False,2.4,2.2,2.0,-1.9,-14.6,0.058,66.667,58.617,60.18,2.979
2014,MIA,BRK,5,False,6.6,5.4,3.3,-2.8,-10.9,0.101,80.0,68.784,71.853,5.376
2014,SAS,POR,5,True,13.8,13.4,7.7,-5.6,-2.7,-0.016,80.0,86.155,89.74,6.512
2014,OKC,LAC,6,False,0.9,0.9,2.4,4.6,3.5,0.11,66.667,52.929,53.472,4.912
2015,CLE,CHI,6,False,6.3,5.5,4.6,1.4,0.8,0.036,66.667,69.308,72.436,4.699
2015,ATL,WAS,6,False,3.0,2.8,1.2,-0.2,-1.4,0.008,66.667,59.966,61.758,1.636
2015,HOU,LAC,7,False,-3.0,-3.2,-1.6,1.6,3.9,0.042,57.143,40.106,38.327,-1.533
2015,GSW,MEM,6,True,8.7,8.0,10.3,4.0,-1.8,-0.027,66.667,76.622,80.347,8.262
2016,CLE,ATL,4,True,13.6,12.5,5.8,-1.1,8.2,-0.034,100.0,83.837,87.573,3.503
2016,TOR,MIA,7,False,2.7,2.5,-1.4,-2.2,1.3,0.005,57.143,58.972,60.597,-1.697
2016,GSW,POR,5,False,4.3,4.4,4.7,0.3,1.6,-0.009,80.0,62.852,65.108,4.543
2016,OKC,SAS,6,False,-0.6,-0.5,-0.2,4.0,9.1,0.075,66.667,48.28,47.96,1.371
2017,CLE,TOR,4,False,15.7,15.3,10.2,3.0,3.6,0.109,100.0,87.675,91.112,10.838
2017,BOS,WAS,7,False,1.0,1.0,4.5,-0.1,-8.6,0.008,57.143,53.163,53.75,4.083
2017,GSW,UTA,4,True,15.6,15.0,7.2,-1.3,1.7,0.025,100.0,88.283,91.648,7.769
2017,SAS,HOU,6,False,5.2,5.0,-0.3,-1.5,9.6,-0.008,66.667,65.842,68.535,-0.806
2018,BOS,PHI,5,False,3.1,3.0,4.9,-0.7,-11.0,0.022,80.0,59.817,61.584,4.852
2018,CLE,TOR,4,False,14.9,14.0,5.1,-5.5,-4.8,-0.026,100.0,85.181,88.84,3.891
2018,GSW,NOP,5,True,8.1,8.6,1.8,-1.4,2.1,0.068,80.0,74.672,78.287,3.005
2018,HOU,UTA,5,False,10.3,10.0,0.5,-4.7,1.2,0.031,80.0,79.31,83.116,2.042
2019,MIL,BOS,5,False,8.3,8.6,4.1,-1.4,3.8,-0.033,80.0,75.046,78.686,2.119
2019,TOR,PHI,7,True,2.9,2.7,0.4,-4.4,-4.6,-0.009,57.143,59.258,60.931,0.201
2019,GSW,HOU,6,False,1.9,1.9,-1.0,-2.4,-1.4,-0.011,66.667,55.938,57.03,-1.011
2019,POR,DEN,7,False,-1.9,-1.8,1.5,0.5,-5.0,-0.042,57.143,44.444,43.421,0.041
2020,BOS,TOR,7,False,5.3,5.3,3.9,1.9,1.7,0.044,57.143,67.271,70.153,4.384
2020,MIA,MIL,5,False,6.9,6.8,4.9,2.1,-3.3,0.061,80.0,70.368,73.613,6.393
2020,DEN,LAC,7,False,0.5,0.5,2.5,1.0,-1.4,-0.014,57.143,51.682,51.995,1.997
2020,LAL,HOU,5,True,7.4,7.2,5.1,2.2,12.0,-0.052,80.0,71.766,75.149,3.685
2021,MIL,BRK,7,True,-3.0,-2.8,-3.1,0.5,7.1,0.003,57.143,40.684,39.001,-3.649
2021,ATL,PHI,7,False,-2.9,-2.8,-4.4,-1.6,-0.7,-0.008,57.143,41.184,39.587,-2.894
2021,PHO,DEN,4,False,16.0,15.7,8.1,0.2,-5.8,0.12,100.0,87.265,90.746,10.81
2021,LAC,UTA,6,False,9.1,8.5,2.5,-2.6,-0.2,0.033,66.667,73.535,77.069,3.442
