Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
2006,PHO,LAC,7,112.3,113.3,116.3,117.4,53.6,53.5,9.8,12.7,20.2,32.0,21.0,25.4,False,57.143,57.5436,58.3123
2007,CLE,NJN,6,85.8,84.2,98.1,96.2,44.8,47.1,13.4,16.6,27.7,19.8,23.5,23.8,False,66.667,49.2578,51.342
2007,DET,CHI,6,93.0,87.5,105.8,99.6,47.1,44.3,13.3,15.3,31.7,30.2,22.6,30.4,False,66.667,51.6628,49.8292
2007,SAS,PHO,6,100.0,100.5,106.6,107.1,50.3,51.3,13.8,14.3,25.7,21.9,24.1,23.9,True,66.667,54.5375,55.8416
2007,UTA,GSW,5,112.6,108.4,112.9,108.6,52.5,50.6,19.2,13.0,41.7,22.8,33.1,28.2,False,80.0,58.0939,55.3739
2008,BOS,CLE,7,84.0,85.1,99.8,101.1,45.5,44.6,14.5,14.3,26.2,26.4,27.6,30.3,True,57.143,51.2695,50.5771
2008,DET,ORL,5,91.6,90.2,108.2,106.5,44.4,52.5,8.1,15.6,27.0,27.6,26.1,19.6,False,80.0,50.6368,54.8875
2008,LAL,UTA,6,110.3,107.3,116.5,113.3,53.6,47.9,13.7,11.8,22.3,35.9,40.6,26.1,False,66.667,60.2212,53.3395
2008,SAS,NOH,7,92.1,92.1,106.7,106.7,50.9,48.0,13.1,9.3,23.1,24.0,18.7,18.4,False,57.143,54.1362,51.7324
2009,CLE,ATL,4,96.3,78.3,117.6,95.6,53.6,42.6,14.3,12.6,39.3,24.7,26.0,20.6,False,100.0,57.1284,47.0648
2009,ORL,BOS,7,96.0,91.7,106.7,101.9,50.4,47.3,12.6,13.6,19.9,23.0,25.1,24.7,False,57.143,54.5986,52.6471
2009,LAL,HOU,7,97.9,90.6,108.4,100.3,49.0,46.9,11.4,15.4,28.5,25.3,21.6,22.1,True,57.143,52.8713,51.528
2009,DEN,DAL,5,114.6,106.8,121.9,113.6,55.5,52.1,10.6,13.5,24.0,25.9,34.9,33.5,False,80.0,60.5606,58.0233
2010,BOS,CLE,6,100.5,95.2,108.4,102.7,50.3,48.0,12.3,15.5,23.7,21.5,26.6,36.7,False,66.667,54.7187,54.6516
