Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion
2012,BOS,PHI,7,89.1,85.4,100.5,96.3,0.468,0.443,14.4,12.8,19.8,25.8,0.244,0.204,False
2012,SAS,LAC,4,102.8,91.3,112.9,100.3,0.564,0.508,14.3,14.0,21.8,19.1,0.212,0.154,False
2012,OKC,LAL,5,100.2,90.8,114.3,103.6,0.495,0.444,9.0,12.9,25.9,27.3,0.256,0.277,False
2013,MIA,CHI,5,97.4,84.2,113.2,97.9,0.537,0.433,13.5,15.5,22.0,31.6,0.295,0.263,True
2013,IND,NYK,6,89.5,89.5,103.8,103.8,0.477,0.458,16.1,10.3,32.6,24.8,0.283,0.177,False
2013,MEM,OKC,5,93.6,89.6,101.7,97.3,0.434,0.44,9.9,13.9,23.0,23.3,0.267,0.234,False
2013,SAS,GSW,6,102.0,98.2,106.6,102.6,0.486,0.475,10.9,12.9,23.7,27.9,0.213,0.171,False
2014,IND,WAS,6,89.0,86.8,99.2,96.8,0.478,0.458,12.5,14.4,13.4,28.0,0.234,0.176,False
2014,MIA,BRK,5,97.8,92.4,118.1,111.5,0.56,0.527,10.7,13.5,17.2,28.1,0.277,0.176,False
2014,SAS,POR,5,108.8,95.4,112.3,98.5,0.53,0.453,8.8,14.4,22.0,24.7,0.167,0.183,True
2014,OKC,LAC,6,107.2,106.3,112.6,111.7,0.524,0.5,14.3,9.7,28.0,24.5,0.305,0.195,False
2015,CLE,CHI,6,96.7,91.2,110.5,104.2,0.489,0.443,11.6,10.2,27.9,27.1,0.234,0.198,False
2015,ATL,WAS,6,97.8,95.0,103.3,100.3,0.477,0.465,13.0,13.2,25.3,26.7,0.18,0.172,False
2015,HOU,LAC,7,109.4,112.6,106.2,109.2,0.505,0.521,13.7,12.1,25.1,21.2,0.299,0.257,False
2015,GSW,MEM,6,97.8,89.8,106.5,97.8,0.542,0.439,16.6,12.6,23.4,25.2,0.173,0.2,True
2016,CLE,ATL,4,112.0,99.5,122.0,108.4,0.573,0.515,12.2,13.3,31.0,22.8,0.16,0.194,True
2016,TOR,MIA,7,97.1,94.6,104.0,101.3,0.47,0.484,11.5,13.7,23.2,21.9,0.224,0.219,False
2016,GSW,POR,5,118.6,114.2,117.1,112.8,0.548,0.501,11.3,11.0,25.8,24.2,0.225,0.234,False
2016,OKC,SAS,6,100.8,101.3,107.5,108.1,0.497,0.499,13.7,9.7,28.0,18.9,0.246,0.171,False
2017,CLE,TOR,4,116.3,101.0,119.6,103.9,0.593,0.491,13.1,10.1,18.2,14.6,0.277,0.168,False
2017,BOS,WAS,7,110.3,109.3,114.1,113.1,0.553,0.508,12.6,12.7,21.4,30.0,0.228,0.22,False
